1075_2016-06-01_0_1,17.763243
1075_2016-06-01_0_2,9.190899
1075_2016-06-01_0_3,9.497445
1075_2016-06-01_0_4,7.6022277
1075_2016-06-01_0_5,11.241632
1075_2016-06-01_0_6,24.618324
1076_2016-06-01_0_1,22.680449
1076_2016-06-01_0_2,11.854278
1076_2016-06-01_0_3,10.800744
1076_2016-06-01_0_4,12.920613
1076_2016-06-01_0_5,23.292282
1076_2016-06-01_0_6,68.037506
1077_2016-06-01_0_1,11.107735
1077_2016-06-01_0_2,7.0029993
1077_2016-06-01_0_3,3.6952202
1077_2016-06-01_0_4,4.352949
1077_2016-06-01_0_5,20.311543
1077_2016-06-01_0_6,84.8368
1125_2016-06-01_0_1,28.50306
1125_2016-06-01_0_2,14.2399235
1125_2016-06-01_0_3,10.406658
1125_2016-06-01_0_4,14.034739
1125_2016-06-01_0_5,16.795818
1125_2016-06-01_0_6,43.362015
1126_2016-06-01_0_1,47.591
1126_2016-06-01_0_2,33.626244
1126_2016-06-01_0_3,18.667173
1126_2016-06-01_0_4,26.922773
1126_2016-06-01_0_5,47.945797
1126_2016-06-01_0_6,105.69857
1127_2016-06-01_0_1,97.54064
1127_2016-06-01_0_2,64.87235
1127_2016-06-01_0_3,33.055176
1127_2016-06-01_0_4,22.80615
1127_2016-06-01_0_5,51.234512
1127_2016-06-01_0_6,143.68517
1128_2016-06-01_0_1,152.94055
1128_2016-06-01_0_2,94.84903
1128_2016-06-01_0_3,37.505814
1128_2016-06-01_0_4,39.821136
1128_2016-06-01_0_5,47.375805
1128_2016-06-01_0_6,131.49632
1129_2016-06-01_0_1,200.88
1129_2016-06-01_0_2,137.55655
1129_2016-06-01_0_3,103.77082
1129_2016-06-01_0_4,76.480515
1129_2016-06-01_0_5,76.818436
1129_2016-06-01_0_6,223.10434
1130_2016-06-01_0_1,285.96722
1130_2016-06-01_0_2,304.44003
1130_2016-06-01_0_3,277.69678
1130_2016-06-01_0_4,153.35846
1130_2016-06-01_0_5,73.12933
1130_2016-06-01_0_6,138.192
1131_2016-06-01_0_1,35.293266
1131_2016-06-01_0_2,27.102324
1131_2016-06-01_0_3,19.317575
1131_2016-06-01_0_4,14.544327
1131_2016-06-01_0_5,17.252516
